# TỪ ĐIỂN THUẬT NGỮ Y TẾ
#
# Tách riêng khỏi từ điển CNTT để bật/tắt độc lập: đọc tài liệu phần mềm thì không cần nó,
# đọc tài liệu y tế thì kéo lên trên.
#
# Định dạng:  từ tiếng Anh <TAB> nghĩa tiếng Việt <TAB> từ loại

appointment	lịch hẹn, cuộc hẹn	danh từ
prescription	đơn thuốc	danh từ
consultation	buổi khám, buổi tư vấn	danh từ
counselor	chuyên viên tư vấn	danh từ
counselors	chuyên viên tư vấn	danh từ
counsellor	chuyên viên tư vấn	danh từ
therapist	nhà trị liệu	danh từ
therapy	liệu pháp điều trị	danh từ
therapeutic	thuộc về trị liệu	tính từ
diagnosis	chẩn đoán	danh từ
diagnostic	thuộc về chẩn đoán	tính từ
symptom	triệu chứng	danh từ
treatment	phác đồ điều trị	danh từ
screening	sàng lọc	danh từ
referral	giấy chuyển tuyến	danh từ
stigma	định kiến xã hội	danh từ
deterioration	sự xấu đi	danh từ
intervention	sự can thiệp	danh từ
telemedicine	khám bệnh từ xa	danh từ
clinician	nhân viên y tế lâm sàng	danh từ
practitioner	người hành nghề y	danh từ
medical record	hồ sơ bệnh án	danh từ
patient record	hồ sơ bệnh nhân	danh từ
inpatient	bệnh nhân nội trú	danh từ
outpatient	bệnh nhân ngoại trú	danh từ
walk-in	bệnh nhân đến không hẹn trước	danh từ
triage	phân loại mức độ ưu tiên cấp cứu	danh từ
laboratory	phòng xét nghiệm	danh từ
lab test	xét nghiệm	danh từ
specimen	mẫu bệnh phẩm	danh từ
dosage	liều dùng	danh từ
adherence	sự tuân thủ điều trị	danh từ
relapse	tái phát bệnh	danh từ
remission	thuyên giảm bệnh	danh từ
anxiety	lo âu	danh từ
depression	trầm cảm	danh từ
mindfulness	thực hành chánh niệm	danh từ
wellbeing	sức khoẻ tinh thần và thể chất	danh từ
crisis	khủng hoảng	danh từ
